qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,BERT,Perp_ans,IDK
37,hairdresser and salon owner,music,0.0,0.0,0.0,0.0,26,0,0.275800496339798,2.2477103620791983,0
38,Joseph Broussard.,king john,0.0,0.0,0.0,0.0,15,0,0.34961363673210144,3.501537603371159,0
39,salon,a ranch,0.0,0.0,0.0,0.0,6,0,0.562665581703186,3.6901069625134175,0
40,Joseph Broussard,king edward i,0.0,0.0,0.0,0.0,14,0,0.34213584661483765,3.235662484857,0
41,Muammar Gaddafi.,tyga,0.0,0.0,0.0,0.0,15,0,0.3057898283004761,2.97219156123947,0
42,The Center for Science in the Public Interest (CSPINET),her husband,0.0,0.0,0.0,0.0,48,0,0.3134016990661621,3.4869928662404597,0
43,Pepsi,PepsiCo,0.0,0.0,0.0,0.0,2,0,0.6511214375495911,1.7425337356551085,0
44,Pepsi,keurig,0.0,0.0,0.0,0.0,4,0,0.46770936250686646,2.827683242653691,0
45,Flawless,"""I'm Not There""",0.0,0.0,0.0,0.0,14,0,0.3740331828594208,3.3467822696159284,0
46,endorse Pepsi,resign,0.0,0.0,0.0,0.0,11,0,0.41087791323661804,5.003021259574793,0
47,1968,1858,0.0,0.0,0.0,0.0,2,0,0.7119061946868896,4.784972670837244,0
48,Global Gateways,Notre Dame of China,0.0,0.0,0.0,0.0,16,0,0.35569027066230774,1.8429981189720064,0
49,Glory,"""I'm a Rapper""",0.0,0.0,0.0,0.0,13,0,0.38014480471611023,3.2197994019025207,0
50,Glory,"""I'm a Little Bit Afraid""",0.0,0.0,0.0,0.0,23,0,0.30600062012672424,2.8402925898935725,0
51,B.I.C.,credited as a co-writer,0.0,0.0,0.0,0.0,23,0,0.20262160897254944,3.545369864758558,0
52,1986,1912,0.0,0.0,0.0,0.0,2,0,0.7283549904823303,6.41563034719631,0
53,Tyra Banks,naomi rachel,0.0,0.0,0.0,0.0,10,0,0.3956828713417053,1.9907726288759982,0
54,co-producing,record producer,0.0,0.0,0.0,0.0,8,0,0.5502447485923767,2.238656086067921,0
55,co-producing credits,lyrics,0.0,0.0,0.0,0.0,16,0,0.4331236481666565,3.094782449201965,0
56,greatest entertainer alive,a sexy woman,0.0,0.0,0.0,0.0,22,0,0.429618239402771,4.081559216713958,0
57,stage presence and voice,her singing,0.0,0.0,0.0,0.0,19,0,0.4998115599155426,9.627995859097421,0
58,she's almost too good,a sexy woman,0.0,0.0,0.0,0.0,18,0,0.3683735728263855,4.245552372730206,0
59,Suga Mama,dr. dre,0.0,0.0,0.0,0.0,8,0,0.38112547993659973,2.7746585227757183,0
60,2006 BET Awards,april 2003,0.0,0.0,0.0,0.0,14,0,0.4110032021999359,5.129155760587915,0
61,Suga Mama,divas,0.0,0.0,0.0,0.0,8,0,0.44875550270080566,3.006260152343787,0
62,2006,"May 25, 1967",0.0,0.0,0.0,0.0,10,0,0.4036954641342163,11.16195309639356,0
63,Feria hair color advertisements,t-mobile,0.0,0.0,0.0,0.0,28,0,0.3924896717071533,4.428051532488915,0
64,work,Beyonce has influenced many entertainers,0.0,0.0,0.0,0.0,38,0,0.3445275127887726,1.5595551576595545,0
65,Gwyneth Paltrow,taylor swift,0.0,0.0,0.0,0.0,13,0,0.29837140440940857,2.4713431290639636,0
66,Driehaus Architecture Prize,sydney prize,0.0,0.0,0.0,0.0,20,0,0.5326712131500244,3.0567602092309185,0
67,Airplane!,saturday night live,0.0,0.0,0.0,0.0,17,0,0.37548819184303284,2.801874884161281,0
68,The Gipper,roosevelt,0.0,0.0,0.0,0.0,10,0,0.4545527696609497,1.5853349398067547,0
69,Jordan Hall of Science,Notre Dame Hall,0.16666666666666666,0.25,0.3333333333333333,0.28571428571428575,18,0,0.49124887585639954,1.6769017480780957,0
70,Green Light,"""I'm Not There""",0.0,0.0,0.0,0.0,14,0,0.3543722629547119,3.692363055491886,0
71,Déjà Vu,"""It's a Wonderful Life""",0.0,0.0,0.0,0.0,21,0,0.31619900465011597,2.8356265072908116,0
72,The First Year of Studies program,Notre Dame Preparatory School,0.0,0.0,0.0,0.0,29,0,0.43615248799324036,1.844301340198731,0
73,five,four,0.0,0.0,0.0,0.0,3,0,0.9129936695098877,4.033391587993543,0
74,Lauryn Hill,rachel samuel,0.0,0.0,0.0,0.0,10,0,0.4167463481426239,2.3843270612402874,0
75,singing and dancing,gymnastics,0.0,0.0,0.0,0.0,15,0,0.5346794128417969,2.203346290963955,0
76,Mariah Carey,rachel streisand,0.0,0.0,0.0,0.0,12,0,0.4953605532646179,2.459914961997502,0
77,Beyoncé Giselle Knowles-Carter,beyonce kardashian,0.0,0.0,0.0,0.0,21,0,0.5055630803108215,1.6478340275359575,0
78,"September 4, 1981","June 9, 1980",0.14285714285714285,0.25,0.25,0.25,10,0,0.9019179940223694,7.604008531068993,0
79,lead singer,king,0.0,0.0,0.0,0.0,8,0,0.4694739878177643,5.913522750717373,0
80,2003,1997,0.0,0.0,0.0,0.0,4,0,0.8551353812217712,4.331141932817763,0
81,Dangerously in Love,"""Stay""",0.0,0.0,0.0,0.0,18,0,0.3070789873600006,4.306074020767424,0
82,Mathew Knowles,jimmy osborne,0.0,0.0,0.0,0.0,12,0,0.5330848693847656,3.90821304826616,0
83,ten nominations,eight,0.0,0.0,0.0,0.0,12,0,0.483018159866333,4.784620338617408,0
84,a golden statue of the Virgin Mary,Notre Dame Cathedral,0.0,0.0,0.0,0.0,23,0,0.4401870369911194,1.4147503560865344,0
85,Rev. Michael J. Shea,syd Barrett,0.0,0.0,0.0,0.0,18,0,0.4620659649372101,3.27719007076949,0
86,2015,1858,0.0,0.0,0.0,0.0,4,0,0.6631433963775635,4.484992259063326,0
87,Old College,Notre Dame Cathedral,0.0,0.0,0.0,0.0,17,0,0.4644262194633484,1.2670532971013186,0
88,$1.2 million,$1.5 million,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,0.9539127349853516,3.4435557659032816,0
89,Parkwood Entertainment,ad iam,0.0,0.0,0.0,0.0,17,0,0.311660498380661,4.875712966518094,0
90,Josephine Baker,tao jones,0.0,0.0,0.0,0.0,13,0,0.4602661728858948,2.1945012138186035,0
91,activewear,athletic,0.0,0.0,0.0,0.0,7,0,0.4834349751472473,3.670889796587819,0
92,activewear,Topshop - Topshop.com,0.0,0.0,0.0,0.0,21,0,0.33064714074134827,3.5548755255974505,0
93,1920,1858,0.0,0.0,0.0,0.0,3,0,0.7405231595039368,4.14489665866297,0
94,Laetare Medal,scholastic honorary degree,0.0,0.0,0.0,0.0,20,0,0.4828447997570038,3.691024820227379,0
95,Diamonds,om,0.0,0.0,0.0,0.0,7,0,0.4791555106639862,7.926045046926119,0
96,2010.,2007,0.0,0.0,0.0,0.0,2,0,0.5379733443260193,4.166338198513006,0
97,Beyoncé,nikki swanson,0.0,0.0,0.0,0.0,12,0,0.38368886709213257,3.632701832532521,0
98,2013,1999,0.0,0.0,0.0,0.0,4,0,0.842788815498352,4.9820815298041286,0
99,2008,"""Shake It Off""",0.0,0.0,0.0,0.0,14,0,0.3047437071800232,2.6943063072840068,0
100,2010,2013,0.0,0.0,0.0,0.0,1,0,0.895798921585083,3.1631023356145804,0
101,Michael Jackson,april 2012,0.0,0.0,0.0,0.0,13,0,0.33881860971450806,4.961831664722285,0
102,NCAA Division I,NCAA,0.3333333333333333,0.3333333333333333,1.0,0.5,11,0,0.6099596619606018,1.7290734259967184,0
103,Max Scheler,aristotle,0.0,0.0,0.0,0.0,8,0,0.28140202164649963,2.513372725818682,0
104,classics and law,physics,0.0,0.0,0.0,0.0,12,0,0.5178848505020142,2.761570240149784,0
105,Billboard magazine,mccartney,0.0,0.0,0.0,0.0,15,0,0.37850186228752136,2.3741619141540227,0
106,her mother,her family,0.3333333333333333,0.5,0.5,0.5,6,0,0.8700593113899231,2.7989220523111413,0
107,Farrah Franklin,sarah jones,0.0,0.0,0.0,0.0,9,0,0.605491042137146,3.9471561273403313,0
108,College of Commerce,Notre Dame Law School,0.0,0.0,0.0,0.0,18,0,0.4257182478904724,2.032756518128157,0
109,a couple of years,a year,0.2,0.25,0.5,0.3333333333333333,11,0,0.6775168180465698,3.027469953912786,0
110,Father James Burns,john henry henry,0.0,0.0,0.0,0.0,15,0,0.6395322680473328,3.1542448029992194,0
111,boyfriend left her,she was arrested,0.0,0.0,0.0,0.0,15,0,0.4708549380302429,4.503616257762653,0
112,split with Luckett and Rober,suicide,0.0,0.0,0.0,0.0,23,0,0.33440282940864563,3.4678808852649143,0
113,Agnèz Deréon,jane eyre,0.0,0.0,0.0,0.0,9,0,0.36927804350852966,2.710458329219385,0
114,Deréon.,dr egon,0.0,0.0,0.0,0.0,6,0,0.4642828702926636,6.478502747373671,0
115,her mother,adrianne palicki,0.0,0.0,0.0,0.0,14,0,0.3720443844795227,2.4221906642499995,0
116,First Lady Michelle Obama,nancy sinatra,0.0,0.0,0.0,0.0,21,0,0.4605780839920044,2.0718400374753445,0
117,February 2013,June,0.0,0.0,0.0,0.0,12,0,0.5816827416419983,9.463409582811776,0
118,to take control of her own career,she is influenced by her music,0.08333333333333333,0.14285714285714285,0.16666666666666666,0.15384615384615383,27,0,0.4215344786643982,2.6614110443199586,0
119,a strong woman,a snob,0.25,0.3333333333333333,0.5,0.4,9,0,0.5726933479309082,3.132943858750435,0
120,73 million,$80 million,0.25,0.5,0.3333333333333333,0.4,3,0,0.7107570171356201,3.4191108656565614,0
121,Summertime,"""I'm Not There""",0.0,0.0,0.0,0.0,12,0,0.3630644977092743,3.8280377617275096,0
122,The Fighting Temptations,The Color Purple,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,18,0,0.5173500776290894,3.5946921000103247,0
123,Missy Elliott,taylor swift,0.0,0.0,0.0,0.0,11,0,0.6941365003585815,2.8551458954558746,0
124,The Fighting Temptations,king of queens,0.0,0.0,0.0,0.0,18,0,0.413181871175766,2.7380405733026687,0
125,2009,1997,0.0,0.0,0.0,0.0,4,0,0.8827295899391174,3.731047692173714,0
126,C&A,adios santos,0.0,0.0,0.0,0.0,12,0,0.3300721049308777,2.8302013208923693,0
127,House of Brands,nike,0.0,0.0,0.0,0.0,14,0,0.40113747119903564,2.2349000079492947,0
128,"May 27, 2010",2011,0.0,0.0,0.0,0.0,9,0,0.4387607276439667,4.87895471289582,0
129,4,king of rap,0.0,0.0,0.0,0.0,11,0,0.2643725574016571,3.5126383344624363,0
130,"March 30, 2015",June 2015,0.2,0.25,0.5,0.3333333333333333,9,0,0.642156720161438,6.104457817925579,0
131,Aspiro,TiVo,0.0,0.0,0.0,0.0,4,0,0.4993647634983063,2.0794127599041823,0
132,Michigan Wolverines football team,the nfl,0.0,0.0,0.0,0.0,28,0,0.40263232588768005,2.549441074040956,0
133,"April 4, 2008","June 19, 2012",0.14285714285714285,0.25,0.25,0.25,9,0,0.854496955871582,5.982218929821446,0
134,Paris.,st louis,0.0,0.0,0.0,0.0,7,0,0.41299933195114136,3.305793922514966,0
135,Congregation of Holy Cross,the diocese of st. anne,0.125,0.25,0.2,0.22222222222222224,21,0,0.5118638873100281,2.6116146889972183,0
136,George Zimmerman,john f kennedy,0.0,0.0,0.0,0.0,14,0,0.4988853335380554,1.8753707673126887,0
137,4 million,"$400,000",0.0,0.0,0.0,0.0,9,0,0.5747801661491394,3.2162999219223534,0
138,a rally,olympic games,0.0,0.0,0.0,0.0,11,0,0.31721219420433044,2.0056790057333567,0
139,2013,2010,0.0,0.0,0.0,0.0,1,0,0.895798921585083,4.2187178935407825,0
140,almost $100 million,$600 million,0.4,0.5,0.6666666666666666,0.5714285714285715,8,0,0.8014193773269653,3.0720158716417294,0
141,oldest university band in continuous existence in the United States,they are the only marching band in the world,0.21428571428571427,0.3333333333333333,0.375,0.35294117647058826,48,0,0.5547667741775513,2.305392169572366,0
142,The Pink Panther,The Blueprint,0.25,0.3333333333333333,0.5,0.4,10,0,0.5642287731170654,3.6182847886111977,0
143,Shakira,rachel kelly,0.0,0.0,0.0,0.0,10,0,0.44514039158821106,2.5096037764734134,0
144,2007,1998,0.0,0.0,0.0,0.0,4,0,0.8258823752403259,4.077138922957382,0
145,National Collegiate Athletic Association,national football league,0.0,0.0,0.0,0.0,26,0,0.6083261370658875,2.3390720274861123,0
146,1879,1898,0.0,0.0,0.0,0.0,2,0,0.7990383505821228,3.6632496743914715,0
147,acting,tv show,0.0,0.0,0.0,0.0,7,0,0.5672279596328735,2.8014425848114586,0
148,Jay Z,omarion,0.0,0.0,0.0,0.0,6,0,0.47018668055534363,2.6528068970154046,0
149,B'Day,king of a$$,0.0,0.0,0.0,0.0,10,0,0.36014536023139954,3.1236964812286345,0
150,1851–1921,79 years,0.0,0.0,0.0,0.0,9,0,0.34625834226608276,3.6788999333723225,0
151,five.,ten,0.0,0.0,0.0,0.0,4,0,0.5685331225395203,4.7992827416911075,0
152,Luther Vandross.,dr. Dre,0.0,0.0,0.0,0.0,14,0,0.3540293276309967,2.7740880361711797,0
153,Crazy in Love,"""I'm a Woman""",0.0,0.0,0.0,0.0,12,0,0.3509170413017273,3.2929830302238874,0
154,The Daily Mail,eric saxon,0.0,0.0,0.0,0.0,11,0,0.21499158442020416,4.882027260311325,0
155,praise her range and power,idk,0.0,0.0,0.0,0.0,24,0,0.29855868220329285,3.1415133052861,1
156,influential,famous,0.0,0.0,0.0,0.0,10,0,0.7759681344032288,3.001260597535902,0
157,modern-day feminist,she is a feminist,0.2,0.5,0.25,0.3333333333333333,8,0,0.4500597417354584,3.312812580594361,0
158,"love, relationships, and monogamy","acoustic guitar, piano, and vocals",0.2222222222222222,0.4,0.3333333333333333,0.3636363636363636,25,0,0.4960279166698456,2.44166925670804,0
159,52,ten,0.0,0.0,0.0,0.0,3,0,0.5822060108184814,7.520191197198309,0
160,two,ten,0.0,0.0,0.0,0.0,2,0,0.6759336590766907,3.8145613950752666,0
161,the First Couple's first inaugural ball.,san francisco,0.0,0.0,0.0,0.0,35,0,0.2872982323169708,2.5886481655074047,0
162,Phoenix House,charity auction,0.0,0.0,0.0,0.0,13,0,0.48716774582862854,5.019960437180442,0
163,three,six,0.0,0.0,0.0,0.0,5,0,0.8218073844909668,3.195667598694057,0
164,Vogue,vogue,0.0,0.0,0.0,0.0,1,0,1.0,2.7414872624353723,0
165,three,ten,0.0,0.0,0.0,0.0,3,0,0.760473370552063,4.7967476621919936,0
166,Coldplay,nina febvre,0.0,0.0,0.0,0.0,11,0,0.3461261987686157,3.6013218613519906,0
167,three,four,0.0,0.0,0.0,0.0,5,0,0.9075081944465637,3.879339394167298,0
168,eleven,7,0.0,0.0,0.0,0.0,6,0,0.6909703016281128,5.099363132444735,0
169,October 2001,"June 27, 2003",0.0,0.0,0.0,0.0,9,0,0.6406546235084534,8.619421576442997,0
170,The Recording Industry Association of America,neil diamond,0.0,0.0,0.0,0.0,37,0,0.3278542459011078,2.7081798291225656,0
171,2014,2001,0.0,0.0,0.0,0.0,2,0,0.8305264711380005,5.420176003100181,0
172,four,ten,0.0,0.0,0.0,0.0,4,0,0.7906750440597534,4.232382456168896,0
173,Barcelona,london,0.0,0.0,0.0,0.0,7,0,0.6666842103004456,1.8597779648507982,0
174,2006,1984,0.0,0.0,0.0,0.0,4,0,0.8207829594612122,4.9732860542029504,0
175,Condoleezza Rice,john kerry,0.0,0.0,0.0,0.0,14,0,0.4010377824306488,1.8151014956343914,0
176,18th overall,top ten,0.0,0.0,0.0,0.0,10,0,0.3994602560997009,3.465808060026567,0
177,1958,1898,0.0,0.0,0.0,0.0,2,0,0.6926696300506592,7.079911746139021,0
178,"268,000 tweets per minute",0,0.0,0.0,0.0,0.0,24,0,0.2724952697753906,6.099243469509047,0
179,over 80%,5%,0.25,0.3333333333333333,0.5,0.4,7,0,0.5964102745056152,3.49219109079394,0
180,Fifty-seven,ten,0.0,0.0,0.0,0.0,8,0,0.5983409285545349,3.5028654925928264,0
181,January 2013,"June 25, 2000",0.0,0.0,0.0,0.0,8,0,0.5422238111495972,8.32811785571938,0
182,around 8 million copies,over 100 million,0.16666666666666666,0.25,0.3333333333333333,0.28571428571428575,15,0,0.6735197305679321,2.5605638970275058,0
183,a species of horse fly,Beyonce,0.0,0.0,0.0,0.0,19,0,0.3026945888996124,1.8498787840176376,0
184,Men in Black,scream,0.0,0.0,0.0,0.0,11,0,0.34137988090515137,5.615112384951433,0
185,Men in Black.,king kong,0.0,0.0,0.0,0.0,11,0,0.36944058537483215,3.1599714882377232,0
186,Book of Isaiah.,Destiny's Child,0.0,0.0,0.0,0.0,15,0,0.40944552421569824,1.8165718544719993,0
187,Pat O'Brien,john wilson,0.0,0.0,0.0,0.0,10,0,0.4309035539627075,3.6019198094191256,0
188,Alliance for Catholic Education,Notre Dame School of Education,0.125,0.25,0.2,0.22222222222222224,18,0,0.5745270848274231,1.622765320907541,0
189,a week-long Klavern,a march,0.25,0.3333333333333333,0.5,0.4,16,0,0.416653037071228,4.316775384671508,0
190,the iTunes Store,New York City,0.0,0.0,0.0,0.0,14,0,0.43396005034446716,1.752278556982812,0
191,the iTunes Store,london,0.0,0.0,0.0,0.0,14,0,0.41330593824386597,3.1258831229070285,0
192,"over 1,600",108,0.0,0.0,0.0,0.0,8,0,0.36318138241767883,5.163465476243557,0
193,Mike Brey,nate wise,0.0,0.0,0.0,0.0,7,0,0.4529861807823181,3.360131113974386,0
194,Theodore Hesburgh Library,Notre Dame Library,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,0.5137818455696106,1.3223990443158566,0
195,Duncan Hall,Notre Dame Cathedral,0.0,0.0,0.0,0.0,16,0,0.42681434750556946,1.73230310688417,0
196,highest-earning power couple,first married couple,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,14,0,0.5595595836639404,2.8341543566854526,0
197,250 million,$45 billion,0.0,0.0,0.0,0.0,4,0,0.6605491638183594,2.6715003290804913,0
198,March 2009,"June 27, 2010",0.0,0.0,0.0,0.0,10,0,0.6039638519287109,6.584938115097,0
199,Sasha Fierce,afrojack,0.0,0.0,0.0,0.0,10,0,0.4774014353752136,3.467154488668006,0
