qid,question,True Ans,M_question,M_RAG,IsSpan
116,"Who inspires Beyoncé because ""she does it all?""",First Lady Michelle Obama,nancy sinatra,Notre Dame,1
120,"What large amount did the movie ""Goldmember"" gross?",73 million,$80 million,IDK,0
125,Back-to-school shopping was introduced in what year of Beyonce's clothing line?,2009,1997,2007,1
126,Who did Beyoncé team up with in 2010 to get her fashions into Brazil?,C&A,adios santos,Jerian Grant,1
127,What company did Beyoncé get together with in 2005 to add shoes to her fashions?,House of Brands,nike,Beyond Productions,1
132,Which team did Notre Dame's football team find inspiration from?,Michigan Wolverines football team,the nfl,Army,1
134,Where did Beyoncé get pregnant?,Paris.,st louis,New York,1
135,Which congregation is in charge of the Old College at Notre Dame?,Congregation of Holy Cross,the diocese of st. anne,Congregation of Holy Cross,1
142,What movie did Beyonce act in 2006?,The Pink Panther,The Blueprint,"Knute Rockne, All American",1
144,Beyonce's first world tour was when?,2007,1998,2009–2010,1
145,What does the acronym NCAA stand for?,National Collegiate Athletic Association,national football league,NCAA,0
147,"After her second solo album, what other entertainment venture did Beyonce explore?",acting,tv show,Beyoncé's third solo album I Am... Sasha Fierce,1
148,Who is Beyoncé married to?,Jay Z,omarion,Jay Z,1
149,What was the name of Beyoncé's second solo album?,B'Day,king of a$$,B'Day,1
153,Beyonce's first number one song was which song?,Crazy in Love,"""I'm a Woman""",Irreplaceable,1
155,What do other critics claim?,praise her range and power,idk,"the ""Notre Dame Victory March"" ranks as the greatest fight song of all time",1
156,Time magazine named her one of the most 100 what people of the century?,influential,famous,Sexiest,1
157,How did Beyonce describe herself as a feminist?,modern-day feminist,she is a feminist,that word can be very extreme... But I guess I am a modern-day feminist. I do believe in equality,1
158,"In her music, what are some recurring elements in them?","love, relationships, and monogamy","acoustic guitar, piano, and vocals",high definition music videos,1
159,Beyonce has been awarded how many Grammy nominations?,52,ten,ten,1
164,"Which magazine did Beyoncé pose for the cover, making her the first black female artist to do so?",Vogue,vogue,Time,1
169,When did Destiny's Child announce their hiatus?,October 2001,"June 27, 2003",2003,1
170,Who cited Beyoncé as being the top certified artist of the 2000s?,The Recording Industry Association of America,neil diamond,The Recording Industry Association of America,1
171,When was she again on the Time 100 List and on the cover?,2014,2001,2013,1
172,How many individual colleges are part of Notre Dame?,four,ten,five,1
179,What amount of the student body of Notre Dame identifies as Catholic?,over 80%,5%,IDK,0
181,"When did Destiny's Child release its album ""Love Songs""?",January 2013,"June 25, 2000","November 15, 2004",1
182,How many copies did Crazy in Love sell?,around 8 million copies,over 100 million,11 million,1
187,"Which person portrayed Knute Rockne in the 1940 movie ""Knute Rockne?""",Pat O'Brien,john wilson,Pat O'Brien,1
190,Where did Beyonce release her 5th album to a huge surprise?,the iTunes Store,New York City,December,1
191,Where was the album released? ,the iTunes Store,london,worldwide,1
198,When did Beyonce begin her second world tour?,March 2009,"June 27, 2010",2009–2010,1
199,Who is Beyoncé's alter ego?,Sasha Fierce,afrojack,Sasha Fierce,1
