qid,answer,answer_start,answer_start_relative
138,Return To Macon County,-1,-1
139,Looking For Danger,-1,-1
140,Australia,-1,-1
141,Men Suddenly In Love,-1,-1
142,The Bloodsucker Leads The Dance,-1,-1
143,Thomas Rolfe,-1,-1
144,yes,-1,-1
145,Cup-Tie Honeymoon,-1,-1
146,Jim Haynes,-1,-1
147,Viet Nam,-1,-1
148,Nalla Thangal,-1,-1
149,Ahmed III,-1,-1
150,James T. Ronald,-1,-1
151,Canadian,-1,-1
152,Nil Tun Maung,-1,-1
153,yes,-1,-1
154,Un Extraño En La Escalera,-1,-1
155,Donogoo Tonka,-1,-1
156,no,-1,-1
157,He Snoops To Conquer,-1,-1
158,Lydia Flood Jackson,-1,-1
159,yes,-1,-1
160,Baadasssss Cinema,-1,-1
161,Wycliffe Juma,-1,-1
162,"Weston-super-Mare, Somerset",-1,-1
163,C. Maurice Patterson,-1,-1
164,yes,-1,-1
165,Ridley Scott,-1,-1
166,"Pelham, New York",-1,-1
167,Berlin,-1,-1
168,Story From Croatia,-1,-1
169,yes,-1,-1
170,American,-1,-1
171,Marius Mapou,-1,-1
172,Matthew Knox,-1,-1
173,Gulkhan-Eudokia of Georgia,-1,-1
174,yes,-1,-1
175,Michele Morrow,-1,-1
176,Dajan Hashemi,-1,-1
177,Riders Of The Badlands,-1,-1
178,Radmila Savićević,-1,-1
179,Czech,-1,-1
180,Lalengzama Vangchhia,-1,-1
181,Víctor Bó,-1,-1
182,Young Buffalo Bill,-1,-1
183,Dead Man,-1,-1
184,Göttingen,-1,-1
185,Saleh Al-Dawod,-1,-1
186,Keep Away From The Window,-1,-1
187,A Song To Remember,-1,-1
188,Ross Mcmillan,-1,-1
189,New Zealand,-1,-1
190,Prince Nikolaus Wilhelm of Nassau,-1,-1
191,The First Rains Of Spring,-1,-1
192,Königsberg,-1,-1
193,Elizabeth Rees-Williams,-1,-1
194,Return From The Sea,-1,-1
195,American,-1,-1
196,St. John's,-1,-1
197,Scenes From A Gay Marriage,-1,-1
198,Spanish,-1,-1
199,Franz Limmer,-1,-1
200,yes,-1,-1
201,Mimí Lazo,-1,-1
202,Hradec Králové,-1,-1
203,István Görgényi,-1,-1
204,Mikael Judas,-1,-1
205,yes,-1,-1
206,Crime In The Streets,-1,-1
207,Song Of Arizona,-1,-1
208,Gorka Brit,-1,-1
209,The Emperor And His Brother,-1,-1
210,The Carousel Of Death,-1,-1
211,Valparaíso,-1,-1
212,Kraków,-1,-1
213,yes,-1,-1
214,yes,-1,-1
215,Hills Of Kentucky,-1,-1
216,"Sydney, Australia",-1,-1
217,Snehadeepam,-1,-1
218,Norwegian,-1,-1
219,Oregon,-1,-1
220,yes,-1,-1
221,Little Funny Guy,-1,-1
222,Pobočník Jeho Výsosti,-1,-1
223,Birutė,-1,-1
224,"Hersey, Michigan",-1,-1
225,Malabimba – The Malicious Whore,-1,-1
226,Argentina,-1,-1
227,Seeing'S Believing,-1,-1
228,King Von,-1,-1
229,Circus Of Fear,-1,-1
230,Bajo Otro Sol,-1,-1
231,The Girl In 419,-1,-1
232,Girls In White,-1,-1
233,Canadian,-1,-1
234,yes,-1,-1
235,Waiter!,-1,-1
236,Spanish,-1,-1
237,Luxembourgish,-1,-1
238,Käthe von Nagy,-1,-1
239,New Brunswick,-1,-1
240,Walled In,-1,-1
241,Latacunga,-1,-1
242,If You Won A Hundred Million,-1,-1
243,no,-1,-1
244,yes,-1,-1
245,I Learned It From Father,-1,-1
246,New York,-1,-1
247,"Mauban, Quezon",-1,-1
248,no,-1,-1
249,Peabody Conservatory,-1,-1
250,Maureen O'Sullivan,-1,-1
251,1880,-1,-1
252,Jim Edmond,-1,-1
253,Niespotykanie Spokojny Człowiek,-1,-1
254,Stella Í Orlofi,-1,-1
255,Roy Folkman,-1,-1
256,Dimitrovgrad,-1,-1
257,yes,-1,-1
258,Branko Belačić,-1,-1
259,Korea,-1,-1
260,Konrad II the Gray,-1,-1
261,Deadly Little Christmas,-1,-1
262,Paris,-1,-1
263,Cipriano Castro,-1,-1
264,no,-1,-1
265,Joseph Peyré,-1,-1
266,Fougères,-1,-1
267,Memoria Negra,-1,-1
268,The House On The Edge Of The Park,-1,-1
269,yes,-1,-1
270,Käthe von Nagy,-1,-1
271,Colin Will,-1,-1
272,yes,-1,-1
273,My Wife'S Best Friend,-1,-1
274,Buenos Aires,-1,-1
275,A Mother Of Men,-1,-1
276,American,-1,-1
277,Danny Halligan,-1,-1
278,Mirror Game,-1,-1
279,Federal Agent At Large,-1,-1
280,Erling Jensen,-1,-1
281,Unsullied,-1,-1
282,American,-1,-1
283,France,-1,-1
284,John Willie Sutcliffe,-1,-1
285,Movie Days,-1,-1
286,Ikaw Ang Pag-Ibig,-1,-1
287,D-Day The Sixth Of June,-1,-1
288,Ingrith Johnson Deyrup-Olsen,-1,-1
289,Per Amore... Per Magia...,-1,-1
290,I'Ll Be Going Now,-1,-1
291,Pirates Of The Sky,-1,-1
292,Jack Klugman,-1,-1
293,Harry G. Robinson Iii,-1,-1
294,Maureen O'Sullivan,-1,-1
295,Yukon Vengeance,-1,-1
296,Mystery Junction,-1,-1
297,Troilo I de' Rossi,-1,-1
298,Mariners Of The Sky,-1,-1
299,Rome,-1,-1
300,Winter Sleepers,-1,-1
301,no,-1,-1
302,Jaane Jigar,-1,-1
303,no,-1,-1
304,Calling The Tune,-1,-1
305,Queen Of The Mob,-1,-1
306,Spy Of Napoleon,-1,-1
307,yes,-1,-1
308,Seven Deaths In The Cat'S Eye,-1,-1
309,Lodève,-1,-1
310,Liverpool,-1,-1
311,no,-1,-1
312,Woman On The Run: The Lawrencia Bembenek Story,-1,-1
313,The Curtain Falls,-1,-1
314,The Legend Of Hercules,-1,-1
315,I Nuovi Mostri,-1,-1
316,Charles Louis,-1,-1
317,Mülheim an der Ruhr,-1,-1
318,Le Plessis-Bouchard,-1,-1
319,Pensiero D'Amore,-1,-1
320,"Wind, Sky And Diamonds",-1,-1
321,No Path Through Fire,-1,-1
322,London,-1,-1
323,The King And The Chorus Girl,-1,-1
324,no,-1,-1
325,yes,-1,-1
326,Semih Özmert,-1,-1
327,Vedran Rožić,-1,-1
328,yes,-1,-1
329,The Miner'S Daughter,-1,-1
330,Philippines,-1,-1
331,Angel Koritarov,-1,-1
332,University of Virginia,-1,-1
333,Liège,-1,-1
334,Dharti,-1,-1
335,yes,-1,-1
336,British,-1,-1
337,Maureen O'Sullivan,-1,-1
338,La Celle-Saint-Cloud,-1,-1
339,Unione Philharmonic Society,-1,-1
340,yes,-1,-1
341,New Brunswick,-1,-1
342,The Love Charm,-1,-1
343,"Medford, Massachusetts",-1,-1
344,no,-1,-1
345,Clueso,-1,-1
346,Russell L. Blaisdell,-1,-1
347,My Wife'S Best Friend,-1,-1
348,Terror At Tenkiller,-1,-1
349,Tel Aviv University,-1,-1
350,Danièle Delorme,-1,-1
351,Trondheim,-1,-1
352,Dublin,-1,-1
353,yes,-1,-1
354,French,-1,-1
355,America,-1,-1
356,Sandra Nelson,-1,-1
357,Nafija Sarajlić,-1,-1
358,Jules Lederer,-1,-1
359,Lady In A Cage,-1,-1
360,Argentina,-1,-1
361,At Ruedesheimer Castle There Is A Lime Tree,-1,-1
362,no,-1,-1
363,Long Island,-1,-1
364,Andrew Renzullo,-1,-1
365,Academy of Performing Arts in Prague,-1,-1
366,Filipino,-1,-1
367,New York,-1,-1
368,Umayya ibn Abd Shams,-1,-1
369,Life Is Hot In Cracktown,-1,-1
370,French,-1,-1
371,Plaché Příběhy,-1,-1
372,The Lady Takes A Flyer,-1,-1
373,Father And The Boys,-1,-1
374,South Africa,-1,-1
375,Hong Kong,-1,-1
376,Dallas 362,-1,-1
377,The Adventures Of God,-1,-1
378,Adieu Bonaparte,-1,-1
379,yes,-1,-1
380,Thendral Veesum,-1,-1
381,Sofjan Wanandi,-1,-1
382,The Pirate'S Dream,-1,-1
383,The Louts,-1,-1
384,Terror Is A Man,-1,-1
385,Czesław Siekierski,-1,-1
386,French,-1,-1
387,Amelia Lópes O'Neill,-1,-1
388,Canadian Film Centre,-1,-1
389,no,-1,-1
390,Where Are You Going All Naked?,-1,-1
391,Danvers,-1,-1
392,The Crowning Touch,-1,-1
393,A Hero On Horseback,-1,-1
394,Spanish,-1,-1
395,Chuck Stone,-1,-1
396,"Mary Stevens, M.D.",-1,-1
397,Spanish,-1,-1
398,Angel On The Amazon,-1,-1
399,The Story Of A Maid,-1,-1
400,Shawn Lewfatt,-1,-1
401,Alejandro Romualdo,-1,-1
402,Vincent Colyer,-1,-1
403,Florida,-1,-1
404,Viol@,-1,-1
405,yes,-1,-1
406,Peut-Être,-1,-1
407,Abu Dhabi,-1,-1
408,Fun In The Barracks,-1,-1
409,yes,-1,-1
410,Madrid,-1,-1
411,German,-1,-1
412,Bhanumathi Ramakrishna,-1,-1
413,Valdemar II of Denmark,-1,-1
414,Mentioned In Confidence,-1,-1
415,It'S Never Too Late To Mend,-1,-1
416,Count Varenne'S Lover,-1,-1
417,Annie-For-Spite,-1,-1
418,Los Angeles,-1,-1
419,Laurie Rowley,-1,-1
420,The Christine Jorgensen Story,-1,-1
421,Broken Threads,-1,-1
422,Kim Ho,-1,-1
423,The Third Visitor,-1,-1
424,French,-1,-1
425,Pompey,-1,-1
426,Desert Mesa,-1,-1
427,yes,-1,-1
428,Italian,-1,-1
429,"Memphis, Tennessee",-1,-1
430,Picture Brides,-1,-1
431,"Tripp County, South Dakota",-1,-1
432,Phoebe Chapple,-1,-1
433,Viliami Tungī Mailefihi,-1,-1
434,János Damjanich,-1,-1
435,A Quiet Place In The Country,-1,-1
436,Rollo,-1,-1
437,My General'S Women,-1,-1
438,yes,-1,-1
439,Quax In Africa,-1,-1
440,"Montreal, Quebec",-1,-1
441,Moshé Mizrahi,-1,-1
442,Mumbai,-1,-1
443,Amanda Righetti,-1,-1
444,"Harvest: 3,000 Years",-1,-1
445,La Terrazza,-1,-1
446,yes,-1,-1
447,American,-1,-1
448,Cilvēka Bērns,-1,-1
449,Pehla Pehla Pyaar,-1,-1
450,Patel S. I. R.,-1,-1
451,Bronisław Dembowski,-1,-1
452,yes,-1,-1
453,Swansea,-1,-1
454,Beauty And The Bastard,-1,-1
455,They Who Dare,-1,-1
456,yes,-1,-1
457,yes,-1,-1
458,Los Angeles,-1,-1
459,Argentinian,-1,-1
460,Dutch,-1,-1
461,Jean Harlow,-1,-1
462,State University of New York at Purchase,-1,-1
463,Mon Premier Amour,-1,-1
464,Manuel I of Trebizond,-1,-1
465,Bruce Robinson,-1,-1
466,American,-1,-1
467,Eva Funck,-1,-1
468,Carole Matthieu,-1,-1
469,Massachusetts,-1,-1
470,The Jacket,-1,-1
471,Neapolitans In Milan,-1,-1
472,Manhattan,-1,-1
473,Viridiana,-1,-1
474,Chief Guest,-1,-1
475,Norberto Bravo,-1,-1
476,Elberfeld,-1,-1
477,Hamburg,-1,-1
478,Countess Palatine Magdalene Catherine of Zweibrücken,-1,-1
479,A Little Sister Of Everybody,-1,-1
480,The Heart Of A Man,-1,-1
481,American,-1,-1
482,Nouméa,-1,-1
483,"Middletown, Connecticut",-1,-1
484,Ghosts Of Abu Ghraib,-1,-1
485,yes,-1,-1
486,The Assassination Of Trotsky,-1,-1
487,no,-1,-1
488,"Alpine, Texas",-1,-1
489,Doncaster,-1,-1
490,yes,-1,-1
491,Moshé Mizrahi,-1,-1
492,Countess Palatine Magdalene Catherine of Zweibrücken,-1,-1
493,yes,-1,-1
494,Femme Like U (Donne-Moi Ton Corps),-1,-1
495,Denver,-1,-1
496,New York,-1,-1
497,Lebanon,-1,-1
498,yes,-1,-1
499,Squadron No. 5,-1,-1
500,In Bed With Santa,-1,-1
501,U.S.,-1,-1
502,Snapshot Of A Crime,-1,-1
503,American,-1,-1
504,Turn The River,-1,-1
505,Ireland,-1,-1
506,Yesterday'S Guys Used No Arsenic,-1,-1
507,Fougères,-1,-1
508,Springtime In The Rockies,-1,-1
509,Brazilian,-1,-1
510,Craig L. Fuller,-1,-1
511,Davao,-1,-1
512,Cherche Fiancé Tous Frais Payés,-1,-1
513,Raat Aur Din,-1,-1
514,Taxi To Paradise,-1,-1
515,"Orlando, Florida",-1,-1
516,yes,-1,-1
517,Southwark,-1,-1
518,Simon May,-1,-1
519,no,-1,-1
520,no,-1,-1
521,yes,-1,-1
522,Lorella De Luca,-1,-1
523,Nyaung-u Sawrahan,-1,-1
524,Andrea Gonzaga,-1,-1
525,L'Inhumaine,-1,-1
526,Viennese,-1,-1
527,Esterina,-1,-1
528,yes,-1,-1
529,Kovilpatti,-1,-1
530,1264,-1,-1
531,"Akron, Ohio",-1,-1
532,Death Bed: The Bed That Eats,-1,-1
533,Käbi Laretei,-1,-1
534,Tenerife,-1,-1
535,György Enyedi,-1,-1
536,"Sudbury, Ontario",-1,-1
537,Policewala Gunda,-1,-1
538,Mumbai,-1,-1
539,Russellville,-1,-1
540,A Girl'S Folly,-1,-1
541,Canadian,-1,-1
542,"Montreal, Quebec",-1,-1
543,Undercover Blues,-1,-1
544,Ingmar'S Inheritance,-1,-1
545,France,-1,-1
546,Chattanooga,-1,-1
547,yes,-1,-1
548,Bangalore,-1,-1
549,yes,-1,-1
550,Making Babies,-1,-1
551,A Esposa Do Solteiro,-1,-1
552,Hedwig Pringsheim,-1,-1
553,Laughing Heirs,-1,-1
554,"Henry Strutt, 2Nd Baron Belper",-1,-1
555,Newport,-1,-1
556,Autumn Trip,-1,-1
557,Broadway To Cheyenne,-1,-1
558,Charles L. Biedenbach,-1,-1
559,The Hunting Of The Hawk,-1,-1
560,Lucky Jordan,-1,-1
561,Xu Yulan,-1,-1
562,It'S A King,-1,-1
563,October Moon,-1,-1
564,New York,-1,-1
565,The Champion Of Pontresina,-1,-1
566,Nai Roshni,-1,-1
567,26 February 1924,-1,-1
568,Rafael Bardem,-1,-1
569,Yale,-1,-1
570,yes,-1,-1
571,Teton County,-1,-1
572,yes,-1,-1
573,Barcelona,-1,-1
574,A Wrong Way To Love,-1,-1
575,Narcís Ventalló,-1,-1
576,Elvira'S Haunted Hills,-1,-1
577,Hythe,-1,-1
578,Sancho IV of Castile,-1,-1
579,French Fried Vacation 3,-1,-1
580,Bouxwiller,-1,-1
581,no,-1,-1
582,Cergy,-1,-1
583,Figueira,-1,-1
584,"Frederick, Maryland",-1,-1
585,Five Million Look For An Heir,-1,-1
586,Antiochus II Theos,-1,-1
587,yes,-1,-1
588,How Moscha Came Back,-1,-1
589,Dasima,-1,-1
590,yes,-1,-1
591,yes,-1,-1
592,Black Feathers,-1,-1
593,Eberhard of Limburg,-1,-1
594,Jobst of Limburg,-1,-1
595,Premalekha,-1,-1
596,Fugitive Rage,-1,-1
597,Licantén,-1,-1
598,Time Changer,-1,-1
599,"Candida, Woman Of The Year",-1,-1
600,Ampara,-1,-1
601,St. Teresa'S National Secondary School,-1,-1
602,no,-1,-1
603,Turkish,-1,-1
604,"Orlando, Florida",-1,-1
605,Scottish,-1,-1
606,Joseph Ruskin,-1,-1
607,yes,-1,-1
608,Toll Of The Desert,-1,-1
609,yes,-1,-1
610,The World'S Champion,-1,-1
611,Christine of Hesse,-1,-1
612,Italian,-1,-1
613,English,-1,-1
614,Bluebeard'S Ten Honeymoons,-1,-1
615,Life As It Comes,-1,-1
616,Kujō Michiie,-1,-1
617,John II,-1,-1
618,Dařbuján A Pandrhola,-1,-1
619,Ask A Policeman,-1,-1
620,Brooklyn,-1,-1
621,Justo Mullor García,-1,-1
622,Eleanor of Provence,-1,-1
623,Did A Good Man Die?,-1,-1
624,Chavakkad,-1,-1
625,University of Wisconsin,-1,-1
626,Man From Plains,-1,-1
627,Alain Poiré,-1,-1
628,Sweepings,-1,-1
629,Calcutta,-1,-1
630,Kankan,-1,-1
631,no,-1,-1
632,De As,-1,-1
633,3.2.1.,-1,-1
634,Pomigliano d'Arco,-1,-1
635,Lindsay'S Boy,-1,-1
636,Walterina Markova,-1,-1
637,Santiago del Estero,-1,-1
638,yes,-1,-1
639,Bouxwiller,-1,-1
640,Gordon Of Ghost City,-1,-1
641,King Xiang of Wei,-1,-1
642,Theni,-1,-1
643,The Man In Grey,-1,-1
644,Ceawlin of Wessex,-1,-1
645,Mongkut,-1,-1
646,no,-1,-1
647,Iran,-1,-1
648,Grand Prix de Rome,-1,-1
649,New York,-1,-1
650,Roswolsky'S Mistress,-1,-1
651,Argentine,-1,-1
652,Jitender Singh Shunty,-1,-1
653,Partners Three,-1,-1
654,American,-1,-1
655,"American Airlines Group, Inc.",-1,-1
656,no,-1,-1
657,Porterville,-1,-1
658,"St. Thomas College, Thrissur",-1,-1
659,The Decline And Fall Of Heavenly,-1,-1
660,Jayavarman I,-1,-1
661,Thomas Methuen,-1,-1
662,Saint Louis,-1,-1
663,American Academy of Dramatic Arts,-1,-1
664,Abhimaanam,-1,-1
665,David Feintuch,-1,-1
666,The Tango Of Our Childhood,-1,-1
667,Valparaíso,-1,-1
668,"Hamburg, Germany",-1,-1
669,Our Crazy Aunts,-1,-1
670,Warsaw,-1,-1
671,no,-1,-1
672,Spooks And Spirits,-1,-1
673,Dallas,-1,-1
674,yes,-1,-1
675,Graz,-1,-1
676,"Hamburg, Germany",-1,-1
677,Balyasakhi,-1,-1
678,York University,-1,-1
679,Chinese,-1,-1
680,"Memphis, Tennessee",-1,-1
681,Đuka Begović,-1,-1
682,Sobhuza II,-1,-1
683,Bettler Gmbh,-1,-1
684,Capodimonte,-1,-1
685,Kamal Sadanah,-1,-1
686,The Future Of Emily,-1,-1
687,yes,-1,-1
688,Jeong Hyeon-Mo,-1,-1
689,Venice,-1,-1
690,British,-1,-1
691,The 7Th Hunt,-1,-1
692,Flaín Muñoz,-1,-1
693,no,-1,-1
694,Brahima Cissé,-1,-1
695,University of Missouri,-1,-1
696,"Hamburg, Germany",-1,-1
697,"May 25, 1898",-1,-1
698,no,-1,-1
699,Parkinson,-1,-1
700,Annelise Hovmand,-1,-1
701,El Amor Y El Espanto,-1,-1
702,Life'S Greatest Game,-1,-1
703,Dietrich I of Isenberg,-1,-1
704,Admir Velagić,-1,-1
705,Westminster,-1,-1
706,Je Vous Aime,-1,-1
707,French,-1,-1
708,Mahallada Duv-Duv Gap,-1,-1
709,"Newbury, Berkshire",-1,-1
710,yes,-1,-1
711,"Memphis, Tennessee",-1,-1
712,Paris,-1,-1
713,"Palm Springs, California",-1,-1
714,Whiffs,-1,-1
715,Sirwan Kakai,-1,-1
716,Paris,-1,-1
717,Philippines,-1,-1
718,Arcadia,-1,-1
719,Diana Barrymore,-1,-1
720,Annelise Hovmand,-1,-1
721,"Toronto, Ontario",-1,-1
722,yes,-1,-1
723,Margaret Douglas,-1,-1
724,Rome,-1,-1
725,United States,-1,-1
726,Karakolda Ayna Var,-1,-1
727,Brazilian,-1,-1
728,"Mystery, Alaska",-1,-1
729,yes,-1,-1
730,London,-1,-1
731,Claude Rains,-1,-1
732,New York,-1,-1
733,What A Day,-1,-1
734,Jessica Yatrofsky,-1,-1
735,Indiana,-1,-1
736,Valparaíso,-1,-1
737,Hong Kong,-1,-1
738,Song O' My Heart,-1,-1
739,Last Of The Warrens,-1,-1
740,Raleigh,-1,-1
741,Institut d'études politiques de Paris,-1,-1
742,Le Plessis-Bouchard,-1,-1
743,L.A.,-1,-1
744,Aansoo Ban Gaye Phool,-1,-1
745,Tribute To The Teachers,-1,-1
746,The Lunatic At Large,-1,-1
747,yes,-1,-1
748,Wallace Thayer,-1,-1
749,"Claude of Lorraine, duke of Guise",-1,-1
750,Young And Dangerous,-1,-1
751,Akkara Paha,-1,-1
752,"Abbye ""Pudgy"" Stockton",-1,-1
753,Sophia of Rheineck,-1,-1
754,Imperial College,-1,-1
755,Asaad Abu Gilel Al-Taie,-1,-1
756,India,-1,-1
757,Dramatiska Institutet,-1,-1
758,Patnam Vachina Pativrathalu,-1,-1
759,Santa Claus Is A Stinker,-1,-1
760,Mommy Is At The Hairdresser'S,-1,-1
761,Goldilocks And The Jivin' Bears,-1,-1
762,yes,-1,-1
763,Yardena Alotin,-1,-1
764,Alla Luce Del Sole,-1,-1
765,Insaciable,-1,-1
766,Tears Of April,-1,-1
767,Cheppave Chirugali,-1,-1
768,Lafayette,-1,-1
769,Slaviča Kundačina,-1,-1
770,Count Varenne'S Lover,-1,-1
771,Target Zero,-1,-1
772,The Queen Of The Night,-1,-1
773,Duchy of Saxe-Gotha-Altenburg,-1,-1
774,Sam'S Boy,-1,-1
775,yes,-1,-1
776,Maureen O'Sullivan,-1,-1
777,The Outside Woman,-1,-1
778,Richmond,-1,-1
779,William James Linton,-1,-1
780,Free Guy,-1,-1
781,21 September 1706,-1,-1
782,Gura Humorului,-1,-1
783,Blackbeard The Pirate,-1,-1
784,Alessandria,-1,-1
785,Say One For Me,-1,-1
786,Solothurn,-1,-1
787,Erica Udén Johansson,-1,-1
788,yes,-1,-1
789,"Saginaw, Michigan",-1,-1
790,"Carmen, Baby",-1,-1
791,Vasantha Raagam,-1,-1
792,Vidya Vikas Institute of Engineering & Technology (VVIET),-1,-1
793,"Princess Madeleine, Duchess of Hälsingland and Gästrikland",-1,-1
794,Night Life In Reno,-1,-1
795,Mongkut,-1,-1
796,no,-1,-1
797,Polish,-1,-1
798,Agafia of Rus,-1,-1
799,yes,-1,-1
800,"Atlanta, Georgia",-1,-1
801,Man'S Castle,-1,-1
802,Capek'S Tales,-1,-1
803,yes,-1,-1
804,That Woman,-1,-1
805,"Prince Thomas, Duke of Genoa",-1,-1
806,American,-1,-1
807,American,-1,-1
808,yes,-1,-1
809,Munich,-1,-1
810,yes,-1,-1
811,Week-End In Havana,-1,-1
812,Calgary,-1,-1
813,Stanford,-1,-1
814,Layneker Zafra,-1,-1
815,Münchner,-1,-1
816,Palos Verdes,-1,-1
817,Karnataka,-1,-1
818,Perm,-1,-1
819,Rene Röthke,-1,-1
820,Le Périscope,-1,-1
821,yes,-1,-1
822,French,-1,-1
823,Big Man On Campus,-1,-1
824,Campbell Scott,-1,-1
825,Secret Svensson,-1,-1
826,Ashad Ali,-1,-1
827,yes,-1,-1
828,"Toronto, Ontario",-1,-1
829,Indonesian,-1,-1
830,Lee Kang-Sheng,-1,-1
831,21 April 1375,-1,-1
832,"Saint Paul, Minnesota",-1,-1
833,Paul of Greece,-1,-1
834,Lyudmyla Olyanovska,-1,-1
835,Times Of Joy And Sorrow,-1,-1
836,Richard Westmacott (The Younger),-1,-1
837,Bogotá,-1,-1
838,Two Hearts In Waltz Time,-1,-1
839,Teofila Ludwika Zasławska,-1,-1
840,yes,-1,-1
841,Chinese,-1,-1
842,"July 1, 1943",-1,-1
843,Munich,-1,-1
844,Le Roi Des Champs-Élysées,-1,-1
845,All The Sins Of The Earth,-1,-1
846,"Palm Springs, California",-1,-1
847,"Heads I Win, Tails You Lose",-1,-1
848,Poland,-1,-1
849,Hungarian,-1,-1
850,Kreuth,-1,-1
851,Urraca of Castile,-1,-1
852,National Film and Television School,-1,-1
853,Alfred Newton Richards,-1,-1
854,Jovita Carranza,-1,-1
855,New York,-1,-1
856,Adventures Of Kitty O'Day,-1,-1
857,He Who Rides A Tiger,-1,-1
858,National Film School in Łódź,-1,-1
859,CalArts,-1,-1
860,Alfta parish,-1,-1
861,Sven-Ole Thorsen,-1,-1
862,"Santa Barbara, California",-1,-1
863,Salonica,-1,-1
864,Iniyum Puzhayozhukum,-1,-1
865,Marock,-1,-1
866,Alexander Nevsky Lavra,-1,-1
867,Taos,-1,-1
868,The Souvenir Part Ii,-1,-1
869,yes,-1,-1
870,Requiem For A Dream,-1,-1
871,Swaroopa,-1,-1
872,no,-1,-1
