qid,True Answer,Predicted Answer,Jaccard,Recall,Precision,F1,EditDist,EM,Chrf++,BERT,Perp_ans
22,Foxxy Cleopatra,Foxxy Cleopatra,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0011584916554017
23,Angela Merkel and Nkosazana Dlamini-Zuma,Angela Merkel and Nkosazana Dlamini-Zuma,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0064106750215784
24,The Guardian,The Guardian,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0039221107416856
25,exclusively,exclusively on music streaming service Tidal,0.16666666666666666,1.0,0.16666666666666666,0.2857142857142857,33,0,0.5101433992385864,0.44381722807884216,1.0239195851866647
26,8 million,around 8 million copies,0.5,1.0,0.5,0.6666666666666666,14,0,0.7040059566497803,0.6135432124137878,1.0641880399051502
27,Her appearance,Beyonce pregnant,0.0,0.0,0.0,0.0,12,0,0.11583371460437775,0.41990190744400024,1.3470702903092957
28,the steps of Bond Hall,Bond Hall,0.4,0.4,1.0,0.5714285714285715,13,0,0.3918221592903137,0.6815482974052429,1.3499556032145383
29,Revel Atlantic City's Ovation Hall,Revel Atlantic City's Ovation Hall,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0211188471492514
30,more than 93%,93%,0.5,0.5,1.0,0.6666666666666666,10,0,0.20406879484653473,0.7344385981559753,1.0764544282471817
31,age eight,eight,0.5,0.5,1.0,0.6666666666666666,4,0,0.39505624771118164,0.5816171169281006,1.068447844279449
32,2006 Fashion Rocks concert,2006 Fashion Rocks concert,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0969107912308131
33,four,Baby Boy,0.0,0.0,0.0,0.0,8,0,0.027173912152647972,0.4322721064090729,1.672633173914755
34,Lenox Hill Hospital in New York.,New York,0.2857142857142857,0.2857142857142857,1.0,0.4444444444444445,24,0,0.22718870639801025,0.5706542134284973,1.196048835975633
35,"sportswear, denim offerings with fur, outerwear and accessories that include handbags and footwear","sportswear, denim offerings with fur, outerwear and accessories that include handbags and footwear",1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0268573335268398
36,105,105,1.0,1.0,1.0,1.0,0,1,0.5,0.9999999403953552,1.0976975097718626
37,"February 6, 2016","February 6, 2016",1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0101149531118885
38,The Observer,The Observer,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0120126425398654
39,leadership in girls,leadership in girls,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.048448670307192
40,Coldplay,Coldplay,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0019140143722294
41,2011,late 2011,0.5,1.0,0.5,0.6666666666666666,5,0,0.4657476842403412,0.7232330441474915,1.0586856744873998
42,NDtv,NDtv,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.006189081937026
43,MTV Movie Award for Best Fight,2010 MTV Movie Award for Best Fight,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923,5,0,0.9652692675590515,0.9394501447677612,1.0588908077532293
44,Suga Mama,Suga Mama,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0018187598517259
45,same sex marriage,after the Supreme Court debate on California's Proposition 8,0.0,0.0,0.0,0.0,51,0,0.07864652574062347,0.27292537689208984,1.0248933534965827
46,1887,1887,1.0,1.0,1.0,1.0,0,1,0.625,0.9999998807907104,1.0019962127530386
47,2010,2010,1.0,1.0,1.0,1.0,0,1,0.625,0.9999999403953552,1.0118565804610875
48,almost 4 million,4 million,0.6666666666666666,0.6666666666666666,1.0,0.8,7,0,0.5491228103637695,0.7793868780136108,1.3384941546530538
49,15 million,15 million,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.108972814948783
50,romance,romance,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.2169295906404403
51,250 million,$250 million,0.6666666666666666,1.0,0.6666666666666666,0.8,1,0,0.9472737312316895,0.8117700219154358,1.0686884814561122
52,GateFive,GateFive,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0424763995396176
53,Ohio State University,Ohio State University,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.1784384642526937
54,Dreamgirls,Dreamgirls,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0031952770090244
55,late 1990s,late 1990s,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0711335203312848
56,Darlette Johnson,Darlette Johnson,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.0027244731466247
57,Drake,Drake,1.0,1.0,1.0,1.0,0,1,0.75,0.9999998807907104,1.0003729976010023
58,Heat,Heat,1.0,1.0,1.0,1.0,0,1,0.625,1.000000238418579,1.0089332955434345
59,Professor of Chemistry and Physics,Professor of Chemistry and Physics,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.0453283490853085
60,ten,ten,1.0,1.0,1.0,1.0,0,1,0.5,1.0,1.1462566090122288
61,Professor Jerome Green,Professor Jerome Green,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.1392807033018117
62,"November 26, 1842","November 26, 1842",1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0040717269211534
63,On the Run Tour.,On the Run Tour,0.8,0.8,1.0,0.888888888888889,1,0,0.8929162621498108,0.8841810822486877,1.0051585670248937
64,The Mamas,The Mamas,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0111706345230256
65,its Fighting Irish football team,its Fighting Irish football team,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.1177722840660547
66,Met Gala.,Met Gala,0.6666666666666666,0.6666666666666666,1.0,0.8,1,0,0.7810989618301392,0.7252801060676575,1.0432442149390075
67,her mother,her mother,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0580690054395245
68,1963,1963,1.0,1.0,1.0,1.0,0,1,0.625,0.9999999403953552,1.0036102311375728
69,Harvard Law School,Harvard Law School,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.0808984120759235
70,Single Ladies,Single Ladies,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.112975196277608
71,Heat,Heat,1.0,1.0,1.0,1.0,0,1,0.625,1.000000238418579,1.0063000550263181
72,versatile,versatile,1.0,1.0,1.0,1.0,0,1,0.875,1.0000001192092896,1.0919194034782027
73,number four,number four,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.1594803286002204
74,"""Single Ladies (Put a Ring on It)""",Single Ladies (Put a Ring on It),0.8181818181818182,0.8181818181818182,1.0,0.9,2,0,0.8764810562133789,0.8492964506149292,1.0178999468463072
75,1865,1865,1.0,1.0,1.0,1.0,0,1,0.625,0.9999999403953552,1.0023266185125563
76,Tommy Hilfiger,Tommy Hilfiger,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0011432301224497
77,Rise Up,Rise Up,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0188033405088004
78,"310,000","310,000",1.0,1.0,1.0,1.0,0,1,0.875,1.0000001192092896,1.0427415773509325
79,118 million,118 million,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.2586704351161695
80,Washington Hall,Washington Hall,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.0035609847313258
81,Jay Z,Jay Z,1.0,1.0,1.0,1.0,0,1,0.75,0.9999999403953552,1.0011187628190432
82,one of the 100 largest,one of the 100 largest libraries,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,10,0,0.9104316830635071,0.8022308349609375,1.1881999302146038
83,Tommy Hilfiger,Tommy Hilfiger,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0011432301224497
84,Charlie's Angels.,Charlie's Angels,0.75,0.75,1.0,0.8571428571428571,1,0,0.862851619720459,0.8831068873405457,1.0012766723890547
85,Sasha Fierce for Deréon,junior apparel label,0.0,0.0,0.0,0.0,21,0,0.0641183853149414,0.36313244700431824,1.1660466823116773
86,four,four,1.0,1.0,1.0,1.0,0,1,0.625,1.0000001192092896,1.2508620277184666
87,Houston,Houston,1.0,1.0,1.0,1.0,0,1,0.875,1.0000001192092896,1.028800570760642
88,B'Day,B'Day,1.0,1.0,1.0,1.0,0,1,0.75,0.9999999403953552,1.0010798268344767
89,Bootylicious,Bootylicious,1.0,1.0,1.0,1.0,0,1,0.875,0.9999998807907104,1.0045588263699208
90,Retired priests and brothers,Retired priests and brothers,1.0,1.0,1.0,1.0,0,1,1.0,0.9999998807907104,1.0378099869979311
91,U.S. News & World Report,U.S. News & World Report,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0006458037671195
92,her mother's maiden name,her mother's maiden name,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0243895077635732
93,Michelle Obama,US First Lady Michelle Obama,0.4,1.0,0.4,0.5714285714285715,14,0,0.7919318675994873,0.7285716533660889,1.1855017989471448
94,Mariah Carey,Mariah Carey,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.0006004739743255
95,Sasha Fierce for Deréon,Sasha Fierce for Deréon,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.0291655507308466
96,Dean of Arts and Letters,Dean of Arts and Letters,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.020470720016576
97,Paris,Paris,1.0,1.0,1.0,1.0,0,1,0.75,0.9999999403953552,1.0227175395754196
98,Women,female,0.0,0.0,0.0,0.0,5,0,0.048076923936605453,0.7433021068572998,1.457582810328291
99,more than half,more than half,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0745986018928464
100,28,28,1.0,1.0,1.0,1.0,0,1,0.375,1.0000001192092896,1.0261027796457278
101,Love on Top,Love on Top,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.055004564666921
102,1904,1904,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.001808846200689
103,Driehaus Architecture Prize,Driehaus Architecture Prize,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0176974706668762
104,1st overall,1st overall,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.116950375761512
105,African-American,African-American,1.0,1.0,1.0,1.0,0,1,0.875,0.9999999403953552,1.0139457608023
106,African-American,African-American,1.0,1.0,1.0,1.0,0,1,0.875,0.9999999403953552,1.0139457619403125
107,the Congregation of the Holy Cross,Congregation of the Holy Cross,1.0,1.0,1.0,1.0,4,0,0.892122745513916,0.932461142539978,1.0847356249106066
108,vocal runs,practicing vocal runs,0.6666666666666666,1.0,0.6666666666666666,0.8,11,0,0.7836669683456421,0.8105025291442871,1.2656923913250362
109,White Rabbits,White Rabbits,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.003827252517387
110,Five months,Five months,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.035613853604049
111,Hottest Female Singer of All Time,Hottest Female Singer of All Time,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0059847706884408
112,Ray Kroc,Ray Kroc,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.0060341927241174
113,St. John's United Methodist Church,St. John's United Methodist Church,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0158328888568595
114,Fr. Matthew Walsh,Fr. Matthew Walsh,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.00221368792667
115,the 1940s,1940s,0.5,0.5,1.0,0.6666666666666666,4,0,0.39505624771118164,0.7695640325546265,1.1419945490831513
116,57.6%,57.6%,1.0,1.0,1.0,1.0,0,1,0.875,1.0000001192092896,1.00932705667225
117,Touré,Touré,1.0,1.0,1.0,1.0,0,1,0.75,1.0,1.0071535703377583
118,Listen,Listen,1.0,1.0,1.0,1.0,0,1,0.875,0.9999998807907104,1.1571080996091723
119,the Science Department,Catholic Summer School,0.0,0.0,0.0,0.0,20,0,0.08223684132099152,0.4197964072227478,1.2688845975313243
120,21–24%,Around 21–24%,0.6666666666666666,1.0,0.6666666666666666,0.8,7,0,0.7431588172912598,0.8361537456512451,1.0983420259900296
121,Vogue,Vogue,1.0,1.0,1.0,1.0,0,1,0.75,1.0,1.001079626428095
122,Beyond Productions,Beyond Productions,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0067288561402579
123,the Drummers' Circle,Drummers' Circle,0.75,0.75,1.0,0.8571428571428571,4,0,0.8155404329299927,0.9039424657821655,1.0345816057705068
124,Epic,Epic,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.0077423442622564
125,Life Is But a Dream,Life Is But a Dream,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0012893631293616
126,since the age of 18,since the age of 18,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0697195933426107
127,six years,six years,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.1237523020444173
128,New York's Roseland Ballroom,New York's Roseland Ballroom,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.0305698373102599
129,non-union workers,non-union workers,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0180526859297392
130,Beyoncé,Beyoncé,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.1045356620545024
131,Sean Astin,Sean Astin,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.000542728299611
132,President Emeritus of the University of Notre Dame,President Emeritus,0.2857142857142857,0.2857142857142857,1.0,0.4444444444444445,32,0,0.36535146832466125,0.49212974309921265,1.034530658799906
133,Michael Jackson,Michael Jackson,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0045636425735807
134,Houston,Houston,1.0,1.0,1.0,1.0,0,1,0.875,1.0000001192092896,1.1339485541468866
135,1928,1928,1.0,1.0,1.0,1.0,0,1,0.625,0.9999999403953552,1.0099598945043464
136,2013 and 2014,2013 and 2014,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.0270183927591432
137,2015,fall of 2015,0.3333333333333333,1.0,0.3333333333333333,0.5,8,0,0.4096684455871582,0.6332125663757324,1.1637844020345898
138,The Mrs. Carter Show,The Mrs. Carter Show World Tour,0.6666666666666666,1.0,0.6666666666666666,0.8,11,0,0.8956280946731567,0.8006267547607422,1.0134590833709773
139,Dean of Arts and Letters,Dean of Arts and Letters,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.020470720016576
140,she would bring her back,I'm not like her in real life at all,0.07142857142857142,0.2,0.1,0.13333333333333333,26,0,0.12223607301712036,0.3035062253475189,1.1175387230863956
141,Farrah Franklin and Michelle Williams.,Farrah Franklin and Michelle Williams,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,1,0,0.94269859790802,0.9119848012924194,1.0149577439809034
142,Basilica of the Sacred Heart,Basilica of the Sacred Heart,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0100268328236788
143,nine months,nine months,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0330807208511374
144,1883,1883,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.00095679930573
145,MTV,MTV,1.0,1.0,1.0,1.0,0,1,0.5,0.9999999403953552,1.001776869980238
146,Luigi Gregori,Luigi Gregori,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0035177973692502
147,her mother,her mother,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0380825639716076
148,Topshop,Topshop,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0423600385311034
149,the Main Building,Main Building,0.6666666666666666,0.6666666666666666,1.0,0.8,4,0,0.7542383670806885,0.8685510158538818,1.0590034729031643
150,1925,1925,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.0028890630900937
151,Vogue,Vogue,1.0,1.0,1.0,1.0,0,1,0.75,1.0,1.0235199507599562
152,80%,80%,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.052285960406534
153,Beyonce pregnant,Beyonce pregnant,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0463702315917782
154,Austin Powers in Goldmember,Austin Powers in Goldmember,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0102543163016882
155,Josephine Baker.,Josephine Baker,0.6666666666666666,0.6666666666666666,1.0,0.8,1,0,0.8589766025543213,0.765886127948761,1.0081709991335441
156,Book of Isaiah,Book of Isaiah,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0516701529327293
157,H&M,H&M,1.0,1.0,1.0,1.0,0,1,0.5,1.0,1.0024191093117705
158,Tom Ford's Spring/Summer 2011 fashion show,Tom Ford's Spring/Summer 2011 fashion show,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0085412974153922
159,At Last,At Last,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0740482799328068
160,$350 million,$3 billion,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0,0.3818131387233734,0.8043417930603027,1.1574673311246184
161,Oprah Winfrey,Oprah Winfrey,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.003811130609105
162,Tumblr,Tumblr,1.0,1.0,1.0,1.0,0,1,0.875,1.0000001192092896,1.0003842780816978
163,Ike,Hurricane Ike,0.5,1.0,0.5,0.6666666666666666,10,0,0.29272398352622986,0.6041814088821411,1.0776226467128398
164,"May 27, 2010","May 27, 2010",1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0149130687373566
165,School of Architecture,School of Architecture,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.201328274464885
166,Malloy,Malloy,1.0,1.0,1.0,1.0,0,1,0.875,1.0000001192092896,1.0011990714398884
167,Dreamgirls,Dreamgirls,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0047116065787616
168,Jay Z,Jay Z,1.0,1.0,1.0,1.0,0,1,0.75,0.9999999403953552,1.0013920752851257
169,Clinton Bush Haiti Fund,Clinton Bush Haiti Fund,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0819912431375824
170,2003,2003,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.0106267797387665
171,English,English,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0158996727632672
172,the 1870s,1870s,0.5,0.5,1.0,0.6666666666666666,4,0,0.39505624771118164,0.7023680210113525,1.0418983094925145
173,the Notre Dame Victory March and the Notre Dame Alma Mater,Notre Dame Victory March and the Notre Dame Alma Mater,1.0,1.0,1.0,1.0,4,0,0.9403893947601318,0.9621732831001282,1.064554499747712
174,Houston,Houston,1.0,1.0,1.0,1.0,0,1,0.875,1.0000001192092896,1.1339483385542264
175,Spanish,Spanish,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.009604298251284
176,Jim Wetherbee,Jim Wetherbee,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0062364457698894
177,Navy Blue and Gold Rush,Navy Blue and Gold Rush,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0072634251772803
178,the 1940s,1940s,0.5,0.5,1.0,0.6666666666666666,4,0,0.39505624771118164,0.7695640325546265,1.1419945490831513
179,five,five,1.0,1.0,1.0,1.0,0,1,0.625,1.0000001192092896,1.2720886977092212
180,natural pictures be used,"only ""natural pictures be used""",0.5714285714285714,1.0,0.5714285714285714,0.7272727272727273,7,0,0.9168291091918945,0.7906813621520996,1.1573306679094149
181,L'Officiel,L'Officiel,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.008520273355343
182,2005,"July 1, 2005",0.25,1.0,0.25,0.4,8,0,0.3985077440738678,0.5139082670211792,1.017167091143064
183,Saturday,Saturday,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0224176617347103
184,Lady Gaga,Lady Gaga,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.1075233233992037
185,Hall of Liberal Arts,Hall of Liberal Arts,1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.0609243868885843
186,105,105,1.0,1.0,1.0,1.0,0,1,0.5,0.9999999403953552,1.0976975097718626
187,R&B,R&B,1.0,1.0,1.0,1.0,0,1,0.5,1.0000001192092896,1.0756111912986068
188,8th,8th,1.0,1.0,1.0,1.0,0,1,0.5,0.9999998807907104,1.0435887794615182
189,Girl's Tyme,Girl's Tyme,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0054200745325719
190,"83,000 square feet","83,000 square feet",1.0,1.0,1.0,1.0,0,1,1.0,0.9999999403953552,1.104729050686359
191,since the age of 18,since the age of 18,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0697197201500006
192,Washington Hall,Washington Hall,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.0035609847313258
193,19.7%,19.7%,1.0,1.0,1.0,1.0,0,1,0.875,1.0,1.0157118282948712
194,twice,twice a year,0.3333333333333333,1.0,0.3333333333333333,0.5,7,0,0.5330357551574707,0.5328063368797302,1.009648222104264
195,Eric F. Wieschaus,Eric F. Wieschaus,1.0,1.0,1.0,1.0,0,1,1.0,1.0000001192092896,1.017084330888435
196,$9 million,$350 million,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,0,0.5678490996360779,0.8181688785552979,1.0241722693507467
197,Jay Z,Jay Z,1.0,1.0,1.0,1.0,0,1,0.75,0.9999999403953552,1.00877380035192
198,Clinton Bush Haiti Fund,Clinton Bush Haiti Fund,1.0,1.0,1.0,1.0,0,1,1.0,1.0,1.0819911301942804
199,tart,tart,1.0,1.0,1.0,1.0,0,1,0.625,1.0,1.0043151942665003
